id,title,genre,cast,description
1,Kalki 2898 AD,Action SciFi,Prabhas Deepika,A futuristic warrior protects the chosen one
2,Pushpa 2,Action Crime,Allu Arjun Rashmika,A smuggler expands his red sandalwood empire
3,Devara,Action Thriller,NTR Janhvi,A feared man returns to reclaim his legacy
4,Family Star,Romance Drama,Vijay Deverakonda Mrunal,A middle class man juggles family and love
5,Guntur Kaaram,Family Drama,Mahesh Babu Sreeleela,A son reconnects with his estranged mother
6,Tillu Square,Comedy Romance,Siddu Anupama,A carefree man falls into trouble again
7,Sankranthiki Vasthunam,Action Comedy,Venkatesh Aishwarya,A cop investigates a quirky case
18,Citadel Honey Bunny,Action Thriller,Samantha Varun,Two secret agents reunite for a mission
9,Khushi,Romance,Vijay Deverakonda Samantha,Two opposites fall in love on a train journey
10,Yatra 2,Political Drama,Mammootty,The journey of a beloved political leader
11,HanuMan,Superhero Action,Teja Sajja Amritha,A common man gains superpowers to save his village
12,Salaar,Action Crime,Prabhas Shruti,A violent man protects his childhood friend
